combining_cross	combining_on	combining_shift	combining_size	dataset	mask_density	seed	threshold	transport_cross	transport_on	transport_shift	transport_size
0.00884434446738775	0.05517730464044781	-0.005768070218210436	0.010881788250565086	offset1-W64-T120	0.17630150111785373	0	0.35	-0.028889418960855243	0.012962339751003226	-0.029023639741225765	-0.029701296787484073
0.007085853678703069	0.08831086174817397	-0.005912608678155129	-0.0011777839539747481	offset1-W64-T120	0.18268923666560205	1	0.35	-0.013827926558948229	0.02237174814035164	-0.012485562447726885	-0.012069012964953756
-0.016739414882412484	0.038107825267327214	-0.006043592167194058	-0.023107370174200254	offset1-W64-T120	0.15522197381028424	2	0.35	-0.01197248312542677	0.0038403214927218514	-0.012014143863993946	-0.010667791322099775
-0.015323268161119584	0.043180211927213975	-0.021525023738608574	-0.02289766698868178	offset1-W64-T120	0.21606515490258704	3	0.35	-0.0007522315700417143	0.015634465887489523	-0.010082102727289578	-0.009356357131247117
-0.040615894621297444	0.0981594180187782	-0.034126811143405794	-0.035693513868105764	offset1-W64-T120	0.18668157138294475	4	0.35	-0.0059282150325638775	0.008110744123593675	-0.0022199203784526115	-0.002422949415499821
-0.011872781318682274	0.03724443218318449	-0.0009368956708681875	0.001166466950713936	offset1-W64-T120	0.2154263813478122	5	0.35	-0.0029621024052786625	0.0210856865250528	-0.0026418640725455675	-0.0014806833366345154
	0.07453208698795098	0.005034649479408737	0.005870533463407171	eoc-offset1-W256-T600	0.16754306314120374	1	0.35		0.002952059675573789	-0.004530436680460395	-0.004302046340944847
	-0.00956065144869244	-0.0011325378752401263	-0.0023915078914429778	eoc-two4cyc-W256-T600	0.10354805046959492	1	0.35		0.06110009401139967	-0.15535035196220293	-0.160261896511448
	0.037590271340278	-0.029042428732207505	-0.030572265881691686	eoc-sigma16250374-W256-T600	0.14003144185290092	1	0.35		0.3809233151657406	-0.06897640747990674	-0.07284911285867152
	0.006303249281449514	-0.06571640488558093	-0.0633018573675227	offset1-threshold-control	0.22511444692856383	mean	0.25		0.020738414819005423	-0.006079049829760007	-0.0047979930448521545
	0.0285561225454778	-0.04364843370548461	-0.04077972082423457	offset1-threshold-control	0.21082188864047693	mean	0.3		0.020930891314419553	-0.0053957847895156385	-0.0048173425920415664
	0.06003000896418761	-0.01238550026940703	-0.009880478723740482	offset1-threshold-control	0.18873096987118065	mean	0.35000000000000003		0.014000884320035453	-0.01141120553853906	-0.01197717314731167
	0.1035993554483572	0.03214250359760617	0.03362509081832602	offset1-threshold-control	0.17071223251357392	mean	0.39999999999999997		0.024072250600919425	-0.0005182926473296096	-0.002739049444181286
	0.16474633324776627	0.09232243546197055	0.0955871515097322	offset1-threshold-control	0.11897157457681251	mean	0.5		0.016964013637565716	-0.005234666577649652	-0.009048337455098138
