class	name	seed	damage
eca	rule 30	3	39
eca	rule 30	3	45
eca	rule 30	3	44
eca	rule 30	3	37
eca	rule 30	3	26
eca	rule 30	3	17
eca	rule 30	3	32
eca	rule 30	3	39
family	$P_a$ (bare)	0	0
family	$P_a$ (bare)	0	0
family	$P_a$ (bare)	0	0
family	$P_a$ (bare)	0	0
family	$P_a$ (bare)	0	0
family	$P_a$ (bare)	0	0
family	$P_a$ (bare)	0	0
family	$P_a$ (bare)	0	0
family	$P_a$ (bare)	0	0
family	$P_a$ (bare)	0	0
family	$P_a$ (bare)	1	0
family	$P_a$ (bare)	1	0
family	$P_a$ (bare)	1	0
family	$P_a$ (bare)	1	0
family	$P_a$ (bare)	1	0
family	$P_a$ (bare)	1	0
family	$P_a$ (bare)	1	0
family	$P_a$ (bare)	1	0
family	$P_a$ (bare)	1	0
family	$P_a$ (bare)	1	1
family	$P_a$ (bare)	2	0
family	$P_a$ (bare)	2	0
family	$P_a$ (bare)	2	0
family	$P_a$ (bare)	2	0
family	$P_a$ (bare)	2	0
family	$P_a$ (bare)	2	0
family	$P_a$ (bare)	2	0
family	$P_a$ (bare)	2	0
family	$P_a$ (bare)	2	0
family	$P_a$ (bare)	2	0
family	$P_a$ (bare)	3	0
family	$P_a$ (bare)	3	0
family	$P_a$ (bare)	3	0
family	$P_a$ (bare)	3	0
family	$P_a$ (bare)	3	0
family	$P_a$ (bare)	3	0
family	$P_a$ (bare)	3	0
family	$P_a$ (bare)	3	0
family	$P_a$ (bare)	3	0
family	$P_a$ (bare)	3	0
family	rot$+1$	0	0
family	rot$+1$	0	5
family	rot$+1$	0	5
family	rot$+1$	0	0
family	rot$+1$	0	9
family	rot$+1$	0	10
family	rot$+1$	0	8
family	rot$+1$	0	0
family	rot$+1$	0	11
family	rot$+1$	0	0
family	rot$+1$	1	0
family	rot$+1$	1	0
family	rot$+1$	1	0
family	rot$+1$	1	0
family	rot$+1$	1	0
family	rot$+1$	1	0
family	rot$+1$	1	0
family	rot$+1$	1	1
family	rot$+1$	1	0
family	rot$+1$	1	0
family	rot$+1$	2	0
family	rot$+1$	2	0
family	rot$+1$	2	0
family	rot$+1$	2	0
family	rot$+1$	2	0
family	rot$+1$	2	0
family	rot$+1$	2	0
family	rot$+1$	2	0
family	rot$+1$	2	0
family	rot$+1$	2	9
family	rot$+1$	3	0
family	rot$+1$	3	0
family	rot$+1$	3	0
family	rot$+1$	3	6
family	rot$+1$	3	0
family	rot$+1$	3	0
family	rot$+1$	3	18
family	rot$+1$	3	0
family	rot$+1$	3	0
family	rot$+1$	3	0
family	braid $P_a$/two-4	0	0
family	braid $P_a$/two-4	0	0
family	braid $P_a$/two-4	0	0
family	braid $P_a$/two-4	0	0
family	braid $P_a$/two-4	0	0
family	braid $P_a$/two-4	0	0
family	braid $P_a$/two-4	0	0
family	braid $P_a$/two-4	0	0
family	braid $P_a$/two-4	0	3
family	braid $P_a$/two-4	0	0
family	braid $P_a$/two-4	1	0
family	braid $P_a$/two-4	1	0
family	braid $P_a$/two-4	1	0
family	braid $P_a$/two-4	1	0
family	braid $P_a$/two-4	1	0
family	braid $P_a$/two-4	1	0
family	braid $P_a$/two-4	1	0
family	braid $P_a$/two-4	1	0
family	braid $P_a$/two-4	1	0
family	braid $P_a$/two-4	1	0
family	braid $P_a$/two-4	2	0
family	braid $P_a$/two-4	2	0
family	braid $P_a$/two-4	2	0
family	braid $P_a$/two-4	2	0
family	braid $P_a$/two-4	2	0
family	braid $P_a$/two-4	2	0
family	braid $P_a$/two-4	2	0
family	braid $P_a$/two-4	2	0
family	braid $P_a$/two-4	2	0
family	braid $P_a$/two-4	2	0
family	braid $P_a$/two-4	3	0
family	braid $P_a$/two-4	3	0
family	braid $P_a$/two-4	3	0
family	braid $P_a$/two-4	3	0
family	braid $P_a$/two-4	3	0
family	braid $P_a$/two-4	3	2
family	braid $P_a$/two-4	3	0
family	braid $P_a$/two-4	3	0
family	braid $P_a$/two-4	3	0
family	braid $P_a$/two-4	3	0
family	braid rot$+2$/rot$+4$	0	0
family	braid rot$+2$/rot$+4$	0	4
family	braid rot$+2$/rot$+4$	0	0
family	braid rot$+2$/rot$+4$	0	0
family	braid rot$+2$/rot$+4$	0	0
family	braid rot$+2$/rot$+4$	0	0
family	braid rot$+2$/rot$+4$	0	0
family	braid rot$+2$/rot$+4$	0	0
family	braid rot$+2$/rot$+4$	0	7
family	braid rot$+2$/rot$+4$	0	7
family	braid rot$+2$/rot$+4$	1	0
family	braid rot$+2$/rot$+4$	1	0
family	braid rot$+2$/rot$+4$	1	0
family	braid rot$+2$/rot$+4$	1	18
family	braid rot$+2$/rot$+4$	1	15
family	braid rot$+2$/rot$+4$	1	22
family	braid rot$+2$/rot$+4$	1	16
family	braid rot$+2$/rot$+4$	1	18
family	braid rot$+2$/rot$+4$	1	18
family	braid rot$+2$/rot$+4$	1	10
family	braid rot$+2$/rot$+4$	2	4
family	braid rot$+2$/rot$+4$	2	15
family	braid rot$+2$/rot$+4$	2	0
family	braid rot$+2$/rot$+4$	2	7
family	braid rot$+2$/rot$+4$	2	7
family	braid rot$+2$/rot$+4$	2	0
family	braid rot$+2$/rot$+4$	2	0
family	braid rot$+2$/rot$+4$	2	0
family	braid rot$+2$/rot$+4$	2	11
family	braid rot$+2$/rot$+4$	2	14
family	braid rot$+2$/rot$+4$	3	0
family	braid rot$+2$/rot$+4$	3	0
family	braid rot$+2$/rot$+4$	3	0
family	braid rot$+2$/rot$+4$	3	0
family	braid rot$+2$/rot$+4$	3	0
family	braid rot$+2$/rot$+4$	3	0
family	braid rot$+2$/rot$+4$	3	15
family	braid rot$+2$/rot$+4$	3	0
family	braid rot$+2$/rot$+4$	3	0
family	braid rot$+2$/rot$+4$	3	0
dial	blend $0.00$	0	1
dial	blend $0.00$	0	1
dial	blend $0.00$	0	3
dial	blend $0.00$	0	5
dial	blend $0.00$	0	14
dial	blend $0.00$	0	16
dial	blend $0.00$	0	5
dial	blend $0.00$	0	7
dial	blend $0.00$	0	18
dial	blend $0.00$	0	16
dial	blend $0.00$	1	0
dial	blend $0.00$	1	5
dial	blend $0.00$	1	4
dial	blend $0.00$	1	3
dial	blend $0.00$	1	4
dial	blend $0.00$	1	0
dial	blend $0.00$	1	24
dial	blend $0.00$	1	0
dial	blend $0.00$	1	20
dial	blend $0.00$	1	17
dial	blend $0.00$	2	2
dial	blend $0.00$	2	2
dial	blend $0.00$	2	4
dial	blend $0.00$	2	2
dial	blend $0.00$	2	5
dial	blend $0.00$	2	10
dial	blend $0.00$	2	14
dial	blend $0.00$	2	15
dial	blend $0.00$	2	10
dial	blend $0.00$	2	18
dial	blend $0.00$	3	0
dial	blend $0.00$	3	0
dial	blend $0.00$	3	7
dial	blend $0.00$	3	8
dial	blend $0.00$	3	9
dial	blend $0.00$	3	12
dial	blend $0.00$	3	11
dial	blend $0.00$	3	11
dial	blend $0.00$	3	10
dial	blend $0.00$	3	13
dial	blend $0.35$	0	0
dial	blend $0.35$	0	4
dial	blend $0.35$	0	4
dial	blend $0.35$	0	4
dial	blend $0.35$	0	19
dial	blend $0.35$	0	17
dial	blend $0.35$	0	20
dial	blend $0.35$	0	12
dial	blend $0.35$	0	0
dial	blend $0.35$	0	0
dial	blend $0.35$	1	0
dial	blend $0.35$	1	0
dial	blend $0.35$	1	9
dial	blend $0.35$	1	9
dial	blend $0.35$	1	0
dial	blend $0.35$	1	0
dial	blend $0.35$	1	0
dial	blend $0.35$	1	0
dial	blend $0.35$	1	12
dial	blend $0.35$	1	6
dial	blend $0.35$	2	0
dial	blend $0.35$	2	0
dial	blend $0.35$	2	0
dial	blend $0.35$	2	0
dial	blend $0.35$	2	0
dial	blend $0.35$	2	0
dial	blend $0.35$	2	0
dial	blend $0.35$	2	14
dial	blend $0.35$	2	0
dial	blend $0.35$	2	0
dial	blend $0.35$	3	0
dial	blend $0.35$	3	0
dial	blend $0.35$	3	0
dial	blend $0.35$	3	0
dial	blend $0.35$	3	0
dial	blend $0.35$	3	0
dial	blend $0.35$	3	5
dial	blend $0.35$	3	0
dial	blend $0.35$	3	0
dial	blend $0.35$	3	0
dial	blend $0.70$	0	0
dial	blend $0.70$	0	0
dial	blend $0.70$	0	0
dial	blend $0.70$	0	0
dial	blend $0.70$	0	0
dial	blend $0.70$	0	0
dial	blend $0.70$	0	0
dial	blend $0.70$	0	0
dial	blend $0.70$	0	0
dial	blend $0.70$	0	0
dial	blend $0.70$	1	0
dial	blend $0.70$	1	0
dial	blend $0.70$	1	1
dial	blend $0.70$	1	9
dial	blend $0.70$	1	0
dial	blend $0.70$	1	0
dial	blend $0.70$	1	0
dial	blend $0.70$	1	0
dial	blend $0.70$	1	0
dial	blend $0.70$	1	0
dial	blend $0.70$	2	0
dial	blend $0.70$	2	0
dial	blend $0.70$	2	0
dial	blend $0.70$	2	0
dial	blend $0.70$	2	0
dial	blend $0.70$	2	11
dial	blend $0.70$	2	0
dial	blend $0.70$	2	0
dial	blend $0.70$	2	1
dial	blend $0.70$	2	0
dial	blend $0.70$	3	0
dial	blend $0.70$	3	0
dial	blend $0.70$	3	0
dial	blend $0.70$	3	0
dial	blend $0.70$	3	0
dial	blend $0.70$	3	0
dial	blend $0.70$	3	0
dial	blend $0.70$	3	0
dial	blend $0.70$	3	0
dial	blend $0.70$	3	0
dial	blend $1.00$	0	0
dial	blend $1.00$	0	0
dial	blend $1.00$	0	0
dial	blend $1.00$	0	0
dial	blend $1.00$	0	0
dial	blend $1.00$	0	0
dial	blend $1.00$	0	0
dial	blend $1.00$	0	0
dial	blend $1.00$	0	0
dial	blend $1.00$	0	0
dial	blend $1.00$	1	0
dial	blend $1.00$	1	0
dial	blend $1.00$	1	0
dial	blend $1.00$	1	0
dial	blend $1.00$	1	0
dial	blend $1.00$	1	0
dial	blend $1.00$	1	0
