gamma	seed	site	mass
0.1250	1	13	0
0.1250	1	14	0
0.1250	1	15	0
0.1250	1	16	0
0.1250	1	17	0
0.1250	1	18	0
0.1250	1	19	0
0.1250	1	20	0
0.1250	1	21	0
0.1250	1	22	0
0.1250	1	23	0
0.1250	1	24	0
0.1250	1	25	0
0.1250	1	26	0
0.1250	1	27	0
0.1250	1	28	0
0.1250	1	29	0
0.1250	1	30	0
0.1250	1	31	0
0.1250	1	32	0
0.1250	1	33	0
0.1250	1	34	6
0.1250	1	35	5
0.1250	1	36	0
0.1250	1	37	6
0.1250	1	38	0
0.1250	1	39	0
0.1250	1	40	4
0.1250	1	41	3
0.1250	1	42	5
0.1250	1	43	0
0.1250	1	44	0
0.1250	1	45	7
0.1250	1	46	7
0.1250	1	47	7
0.1250	1	48	6
0.1250	1	49	7
0.1250	1	50	7
0.1250	1	51	0
0.1250	1	52	0
0.1250	1	53	0
0.1250	1	54	0
0.1250	1	55	0
0.1250	1	56	0
0.1250	1	57	0
0.1250	1	58	0
0.1250	1	59	0
0.1250	1	60	0
0.1250	1	61	0
0.1250	1	62	0
0.1250	1	63	0
0.1250	1	64	0
0.1250	1	65	0
0.1250	1	66	0
0.1250	1	67	0
0.1250	1	68	0
0.1250	1	69	0
0.1250	1	70	0
0.1250	1	71	0
0.1250	1	72	0
0.1250	1	73	0
0.1250	1	74	0
0.1250	1	75	0
0.1250	1	76	0
0.1250	1	77	0
0.1250	1	78	0
0.1250	1	79	0
0.1250	2	0	0
0.1250	2	1	0
0.1250	2	2	4
0.1250	2	3	0
0.1250	2	4	5
0.1250	2	5	5
0.1250	2	6	5
0.1250	2	7	5
0.1250	2	8	0
0.1250	2	9	5
0.1250	2	10	5
0.1250	2	11	0
0.1250	2	12	0
0.1250	2	13	6
0.1250	2	14	0
0.1250	2	15	6
0.1250	2	16	6
0.1250	2	17	0
0.1250	2	18	5
0.1250	2	19	5
0.1250	2	20	5
0.1250	2	21	5
0.1250	2	22	5
0.1250	2	23	0
0.1250	2	24	0
0.1250	2	25	0
0.1250	2	26	0
0.1250	2	27	5
0.1250	2	28	7
0.1250	2	29	3
0.1250	2	30	4
0.1250	2	31	4
0.1250	2	32	4
0.1250	2	33	5
0.1250	2	34	0
0.1250	2	35	1
0.1250	2	36	0
0.1250	2	37	0
0.1250	2	38	0
0.1250	2	39	0
0.1250	2	40	0
0.1250	2	41	0
0.1250	2	42	0
0.1250	2	43	0
0.1250	2	44	0
0.1250	2	45	0
0.1250	2	46	0
0.1250	2	47	0
0.1250	2	48	0
0.1250	2	49	5
0.1250	2	50	0
0.1250	2	51	0
0.1250	2	52	5
0.1250	2	53	0
0.1250	2	54	5
0.1250	2	55	0
0.1250	2	56	0
0.1250	2	57	0
0.1250	2	58	5
0.1250	2	59	0
0.1250	2	60	0
0.1250	2	61	0
0.1250	2	62	0
0.1250	2	63	5
0.1250	2	64	0
0.1250	2	65	0
0.1250	2	66	0
0.1250	2	67	0
0.1250	2	68	0
0.1250	2	69	5
0.1250	2	70	5
0.1250	2	71	5
0.1250	2	72	1
0.1250	2	73	4
0.1250	2	74	0
0.1250	2	75	1
0.1250	2	76	3
0.1250	2	77	0
0.1250	2	78	0
0.1250	2	79	0
0.1250	3	0	0
0.1250	3	1	0
0.1250	3	2	0
0.1250	3	3	11
0.1250	3	4	9
0.1250	3	5	6
0.1250	3	6	8
0.1250	3	7	18
0.1250	3	8	18
0.1250	3	9	8
0.1250	3	10	0
0.1250	3	11	9
0.1250	3	12	17
0.1250	3	13	13
0.1250	3	14	0
0.1250	3	15	0
0.1250	3	16	0
0.1250	3	17	0
0.1250	3	18	12
0.1250	3	19	0
0.1250	3	20	14
0.1250	3	21	0
0.1250	3	22	0
0.1250	3	23	0
0.1250	3	24	14
0.1250	3	25	14
0.1250	3	26	0
0.1250	3	27	11
0.1250	3	28	15
0.1250	3	29	13
0.1250	3	30	9
0.1250	3	31	17
0.1250	3	32	12
0.1250	3	33	0
0.1250	3	34	12
0.1250	3	35	15
0.1250	3	36	13
0.1250	3	37	12
0.1250	3	38	0
0.1250	3	39	14
0.1250	3	40	0
0.1250	3	41	0
0.1250	3	42	13
0.1250	3	43	13
0.1250	3	44	12
0.1250	3	45	1
0.1250	3	46	13
0.1250	3	47	6
0.1250	3	48	15
0.1250	3	49	18
0.1250	3	50	0
0.1250	3	51	9
0.1250	3	52	0
0.1250	3	53	18
0.1250	3	54	0
0.1250	3	55	7
0.1250	3	56	2
0.1250	3	57	4
0.1250	3	58	7
0.1250	3	59	3
0.1250	3	60	7
0.1250	3	61	4
0.1250	3	62	2
0.1250	3	63	7
0.1250	3	64	4
0.1250	3	65	3
0.1250	3	66	0
0.1250	3	67	0
0.1250	3	68	0
0.1250	3	69	6
0.1250	3	70	0
0.1250	3	71	0
0.1250	3	72	0
0.1250	3	73	0
0.1250	3	74	0
0.1250	3	75	0
0.1250	3	76	0
0.1250	3	77	0
0.1250	3	78	0
0.1250	3	79	0
0.2500	1	0	0
0.2500	1	1	0
0.2500	1	2	0
0.2500	1	3	0
0.2500	1	4	0
0.2500	1	5	0
0.2500	1	6	0
0.2500	1	7	0
0.2500	1	8	0
0.2500	1	9	0
0.2500	1	10	0
0.2500	1	11	0
0.2500	1	12	0
0.2500	1	13	0
0.2500	1	14	0
0.2500	1	15	0
0.2500	1	16	0
0.2500	1	17	0
0.2500	1	18	0
0.2500	1	19	0
0.2500	1	20	0
0.2500	1	21	0
0.2500	1	22	0
0.2500	1	23	0
0.2500	1	24	0
0.2500	1	25	0
0.2500	1	26	0
0.2500	1	27	0
0.2500	1	28	0
0.2500	1	29	0
0.2500	1	30	0
0.2500	1	31	0
0.2500	1	32	2
0.2500	1	33	2
0.2500	1	34	2
0.2500	1	35	0
0.2500	1	36	6
0.2500	1	37	0
0.2500	1	38	6
0.2500	1	39	6
0.2500	1	40	4
0.2500	1	41	7
0.2500	1	42	5
0.2500	1	43	0
0.2500	1	44	8
0.2500	1	45	0
0.2500	1	46	4
0.2500	1	47	7
0.2500	1	48	5
0.2500	1	49	0
0.2500	1	50	0
0.2500	1	51	4
0.2500	1	52	0
0.2500	1	53	0
0.2500	1	54	7
0.2500	1	55	0
0.2500	1	56	0
0.2500	1	57	0
0.2500	1	58	0
0.2500	1	59	7
0.2500	1	60	0
0.2500	1	61	7
0.2500	1	62	0
0.2500	1	63	0
0.2500	1	64	0
0.2500	1	65	0
0.2500	1	66	0
0.2500	1	67	0
0.2500	1	68	0
0.2500	1	69	0
0.2500	1	70	0
0.2500	1	71	0
0.2500	1	72	0
0.2500	1	73	0
0.2500	1	74	0
0.2500	1	75	0
0.2500	1	76	0
0.2500	1	77	0
0.2500	1	78	0
0.2500	1	79	0
0.2500	2	0	0
0.2500	2	1	0
0.2500	2	2	4
0.2500	2	3	0
0.2500	2	4	7
0.2500	2	5	6
0.2500	2	6	7
0.2500	2	7	6
0.2500	2	8	7
0.2500	2	9	6
0.2500	2	10	6
0.2500	2	11	4
0.2500	2	12	7
0.2500	2	13	7
0.2500	2	14	6
0.2500	2	15	8
0.2500	2	16	6
0.2500	2	17	7
0.2500	2	18	6
0.2500	2	19	6
0.2500	2	20	6
0.2500	2	21	7
0.2500	2	22	7
0.2500	2	23	0
0.2500	2	24	0
0.2500	2	25	0
0.2500	2	26	0
0.2500	2	27	4
0.2500	2	28	0
0.2500	2	29	4
0.2500	2	30	3
0.2500	2	31	0
0.2500	2	32	7
0.2500	2	33	0
0.2500	2	34	0
0.2500	2	35	0
0.2500	2	36	0
0.2500	2	37	0
0.2500	2	38	0
0.2500	2	39	0
0.2500	2	40	0
0.2500	2	41	0
0.2500	2	42	0
0.2500	2	43	0
0.2500	2	44	0
0.2500	2	45	0
0.2500	2	46	0
0.2500	2	47	0
0.2500	2	48	0
0.2500	2	49	6
0.2500	2	50	0
0.2500	2	51	0
0.2500	2	52	0
0.2500	2	53	0
0.2500	2	54	0
0.2500	2	55	10
0.2500	2	56	0
0.2500	2	57	8
0.2500	2	58	4
0.2500	2	59	8
0.2500	2	60	3
0.2500	2	61	3
0.2500	2	62	0
0.2500	2	63	3
0.2500	2	64	0
0.2500	2	65	0
0.2500	2	66	5
0.2500	2	67	2
0.2500	2	68	5
0.2500	2	69	0
0.2500	2	70	4
0.2500	2	71	3
0.2500	2	72	3
0.2500	2	73	5
