gen	mean-gamma	mean-score	mean-reach	best-score	best-gamma	mean-update	best-update	mean-plastic	mean-held
0	1.0000	0.3533	11.8583	0.8542	1.0000	1.0000	1.0000	1.0000	0.0000
1	1.0000	0.4073	11.8417	0.8542	1.0000	1.0000	1.0000	0.9922	0.0078
