gen	mean-gamma	mean-score	mean-reach	best-score	best-gamma	mean-update	best-update	mean-plastic
0	0.0000	0.0000	0.8319	0.0000	0.0000	1.0000	1.0000	1.0000
1	0.0000	0.0000	0.7347	0.0000	0.0000	0.9792	1.0000	0.9870
2	0.0000	0.0000	0.7861	0.0000	0.0000	0.9479	1.0000	0.9870
3	0.0000	0.0000	0.7347	0.0000	0.0000	0.9792	1.0000	0.9896
4	0.0000	0.0000	0.7250	0.0000	0.0000	0.9479	1.0000	0.9911
5	0.0000	0.0000	0.7972	0.0000	0.0000	0.9792	1.0000	0.9880
6	0.0000	0.0000	0.7153	0.0000	0.0000	0.9271	1.0000	0.9927
7	0.0000	0.0000	0.8222	0.0000	0.0000	0.9896	1.0000	0.9906
8	0.0000	0.0000	0.7014	0.0000	0.0000	0.9375	1.0000	0.9906
9	0.0000	0.0000	0.7292	0.0000	0.0000	0.9688	1.0000	0.9896
10	0.0000	0.0000	0.7875	0.0000	0.0000	0.9375	1.0000	0.9927
11	0.0000	0.0000	0.8972	0.0000	0.0000	0.9792	1.0000	0.9906
12	0.0000	0.0000	0.8153	0.0000	0.0000	0.9688	1.0000	0.9891
13	0.0000	0.0000	0.7069	0.0000	0.0000	0.9375	1.0000	0.9859
14	0.0000	0.0000	0.6667	0.0000	0.0000	0.9479	1.0000	0.9901
15	0.0000	0.0000	0.9722	0.0000	0.0000	0.9792	1.0000	0.9906
16	0.0000	0.0000	0.7472	0.0000	0.0000	0.9479	1.0000	0.9911
17	0.0000	0.0000	0.7083	0.0000	0.0000	0.9583	1.0000	0.9932
18	0.0000	0.0000	0.7361	0.0000	0.0000	0.9583	1.0000	0.9891
19	0.0000	0.0000	0.6764	0.0000	0.0000	0.9479	1.0000	0.9906
20	0.0000	0.0000	0.7778	0.0000	0.0000	0.9583	1.0000	0.9880
21	0.0000	0.0000	0.7542	0.0000	0.0000	0.9583	1.0000	0.9870
22	0.0000	0.0000	0.7972	0.0000	0.0000	0.9583	1.0000	0.9922
23	0.0000	0.0000	0.6931	0.0000	0.0000	0.9375	1.0000	0.9917
24	0.0000	0.0000	0.6764	0.0000	0.0000	0.9375	1.0000	0.9906
25	0.0000	0.0000	0.7903	0.0000	0.0000	0.9583	1.0000	0.9906
26	0.0000	0.0000	0.7181	0.0000	0.0000	0.9688	1.0000	0.9911
27	0.0000	0.0000	0.7472	0.0000	0.0000	0.9688	1.0000	0.9943
28	0.0000	0.0000	0.6153	0.0000	0.0000	0.9271	1.0000	0.9870
29	0.0000	0.0000	0.7042	0.0000	0.0000	0.9271	1.0000	0.9917
